product_id,base_item_code,item_code,name,category1,category1_1,category1_3,category1_4,collections1,collections2,collections3,collections4,menu_id,category_id,price,image_alt,created_at,updated_at
55,EH1SC285MG90,EH1SC285MG90ENA,Cropped denim and grain de poudre jacket,Men,Ready-To-Wear,Denim,,Jackets And Blazers,Atelier Balmain,Sustainable Selection,New,89,"[124,73,74,75,89,84,127,128]",4990,Cropped denim and grain de poudre jacket,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
56,DH0JS118BC81,DH0JS118BC81EAH,Vintage Balmain embroidered oversized sweatshirt,Men,Ready-To-Wear,Sportswear,,Sweatshirts,Sustainable Selection,,,90,"[73,74,75,90,82,128]",1090,Vintage Balmain embroidered oversized sweatshirt,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
57,BWB641590,BWB641590012,Balmain logo swim shorts,Men,Ready-To-Wear,Swimwear,,,,,Pre-order,91,"[73,74,75,91]",465,Balmain logo swim shorts,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
58,EM1VI362KRCT,EM1VI362KRCTEAB,"Unicorn Wave trainers with ""Love Letter"" print",Men,Sneakers,Unicorn,,,,,New,94,"[73,92,93,94,100,101,102,124,148,149,150]",1350,"Unicorn Wave trainers with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
59,DM1VI288LTSG,DM1VI288LTSGEAB,Calfskin B-Court sneakers with Balmain logo,Men,Sneakers,B-Court,,,,,,96,"[73,92,93,96,100,101,103,148,149,152]",750,Calfskin B-Court sneakers with Balmain logo,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
60,DM1VI350TNVF,DM1VI350TNVFEFF,"B-East trainers in leather, suede and mesh",Men,Sneakers,B-East,,,,,,97,"[73,92,93,97,100,101,105,148,149,153]",925,"B-East trainers in leather, suede and mesh",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
61,DM1VI355LNVY,DM1VI355LNVYEFF,Run-Row leather and nylon sneakers,Men,Sneakers,Run-Row,,,,,,98,"[73,92,93,98,100,101,105,148,149,154]",725,Run-Row leather and nylon sneakers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
62,EM1VI357TMGO,EM1VI357TMGOYAD,Cosmic Dust fleece trainers,Men,Sneakers,Cosmic Dust,,,,,New,99,"[73,92,93,99,124]",795,Cosmic Dust fleece trainers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
63,DM0TE346LPAT,DM0TE346LPAT0PA,Eden patent leather Chelsea boots,Men,Shoes,Boots And Rangers,,,,,New,108,"[73,100,101,108,124]",4600,Eden patent leather Chelsea boots,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
64,BM1UO330LIRS,BM1UO330LIRS0PA,Ben smooth leather loafers,Men,Shoes,Loafers,,,,,,109,"[73,100,101,109]",1550,Ben smooth leather loafers,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
65,CM1UG320TJMA,CM1UG320TJMAGFE,Alex espadrilles with jacquard monogram,Men,Shoes,Sandals,,,,,,110,"[73,100,101,110]",750,Alex espadrilles with jacquard monogram,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
66,EM1FF239TNDT,EM1FF239TNDTEAF,1945 Soft tote bag in diamond-quilted nylon,Men,Bags,Bags And Backpacks,,,,,,113,"[73,111,112,113,129,130,131]",2695,1945 Soft tote bag in diamond-quilted nylon,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
67,CM1SH055TGBO,CM1SH055TGBO0PA,Rubber Guitar Clutch Bag,Men,Bags,Cross-Body Bags,,,,,,114,"[73,111,112,114,129,130,132]",1695,Rubber Guitar Clutch Bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
68,DBPS164,DBPS164164C,B-Army sunglasses,Men,Accessories,Eyewear,,,,,New,117,"[73,115,116,117,124]",740,B-Army sunglasses,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
69,DBPS164,DBPS164164B,B-Army sunglasses,Men,Accessories,Eyewear,,,,,New,117,"[73,115,116,117,124]",740,B-Army sunglasses,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
70,DBPS164,DBPS164164A,B-Army sunglasses,Men,Accessories,Eyewear,,,,,New,117,"[73,115,116,117,124]",740,B-Army sunglasses,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
71,EN1MA195LCLL,EN1MA195LCLLGAB,"Calfskin B-Buzz card holder with ""Love Letter"" print",Men,Accessories,Small Leather Goods,,,,,New,118,"[73,115,116,118,124]",325,"Calfskin B-Buzz card holder with ""Love Letter"" print",2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
72,BM0WJ016TMCK,BM0WJ016TMCKWFP,Mini monogrammed waxed canvas belt,Men,Accessories,Belts,,,,,,119,"[73,115,116,119]",575,Mini monogrammed waxed canvas belt,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
73,DN1XH358MLTO,DN1XH358MLTOIAB,Brass chain bracelet,"Men, Women",Accessories,Fashion Jewelry,,,,,,120,"[73,115,116,120]",775,Brass chain bracelet,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
74,CN4DB530TCDY,,B-Buzz 23 canvas and leather bag,Women,Bags,B-Buzz Bags,,Online exclusive,,,,32,"[1,21,22,32,71,133,135]",2295,B-Buzz 23 canvas and leather bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
75,DN1ON225LGSR,DN1ON225LGSR8AG,Emblème grained calfskin clutch,Women,Accessories,Small Leather Goods,,Emblème Bags,,,,61,"[1,58,59,61,136]",995,Emblème grained calfskin clutch,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
76,EN1DB960TDTW,EN1DB960TDTW6FF,Medium denim Jolie Madame bag,,,,,Jolie Madame Bags,,,New,30,"[1,21,22,30,67,133,134]",3200,Medium denim Jolie Madame bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
77,CN1FF869TMBJ,CN1FF869TMBJWEZ,Olivier's Cabas in canvas and leather,Women,Bags,Tote Bags,,Olivier's Cabas,,,,26,"[1,21,22,26,36]",2195,Olivier's Cabas in canvas and leather,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
78,DN1FE818TJDC,DN1FE818TJDCGFE,B-Army monogrammed jacquard and leather tote bag,Women,Bags,Tote Bags,,B-Army Bags,Essentials For Her,,,26,"[1,21,22,26,33,69,137]",1295,B-Army monogrammed jacquard and leather tote bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
79,EF1KA120KH91,EF1KA120KH91GAU,Knit jumper with faux cardigan design,Women,Ready-To-Wear,Knitwear,,Essentials For Her,,,,14,"[1,2,3,14,69]",2090,Knit jumper with faux cardigan design,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
80,EN1DB953AHXS,EN1DB953AHXSEAW,B-Buzz Dynasty bag in suede and rhinestones,,,,,B-Buzz Dynasty Bags,,,,35,"[35, 139]",6700,B-Buzz Dynasty bag in suede and rhinestones,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
81,CN1EG879TMBJ,CN1EG879TMBJEEO,Monogram canvas and leather bucket bag,,,,,Special Bags,,,,37,"[21,37]",2850,Monogram canvas and leather bucket bag,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
82,EF1R5086KH88,EF1R5086KH88GAU,Two-tone knit dress with faux waistcoat design,Women,Ready-To-Wear,Dresses,,Sustainable Selection,,,New,4,"[1,2,3,4,72,67]",2950,Two-tone knit dress with faux waistcoat design,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
83,DM1GE150TJMY,DM1GE150TJMYGFE,Backpack with jacquard monogram,Men,Bags,Bags And Backpacks,,Gifts For Him,,,New,113,"[73,111,112,113,129,130,131,124]",1595,Backpack with jacquard monogram,2025-01-18T15:01:38.409Z,2025-01-18T15:01:38.409Z
